question,context
Cách liên kết ngân hàng trên VNPT Money,"Cách liên kết ngân hàng trên VNPT Money như sau -Bước 1: Đăng nhập tài khoản ví VNPT Money. -Bước 2: Truy cập mục 'Cá nhân' và chọn 'Ngân Hàng Liên Kết' Khách hàng lựa chọn hình thức liên kết: Liên kết ngân hàng trực tiếp: hỗ trợ nạp tiền vào ví VNPT Money và rút tiền từ Ví về tài khoản ngân hàng. Liên kết qua thẻ ATM nội địa: chỉ hỗ trợ nạp tiền từ thẻ ATM vào Ví. Các Bước thực hiện như sau: 1. Liên kết ngân hàng trực tiếp. -Bước 1: Chọn ngân hàng muốn liên kết trong danh sách 'Ngân Hàng Liên Kết'. -Bước 2: Thực hiện thao tác liên kết qua số thẻ, số tài khoản, Internet Banking tùy thuộc yêu cầu của từng ngân hàng. -Bước 3: Sau khi hoàn tất các thao tác hệ thống báo 'Liên Kết Thành Công'. 2. Liên kết qua thẻ ATM nội địa. -Bước 1: Chọn ngân hàng muốn liên kết trong danh sách 'Thẻ ATM Nội Địa'. -Bước 2: Điền thông tin thẻ ATM và chọn 'Tiếp tục'. -Bước 3: Nhập mã xác thực OTP ngân hàng gửi về qua SMS và chọn 'Tiếp tục'. -Bước 4: Hệ thống trả về kết quả liên kết thành công."
Liên kết ngân hàng trên VNPT Money để làm gì,Liên kết ngân hàng trực tiếp để hỗ trợ nạp tiền vào ví VNPT Money và rút tiền từ Ví về tài khoản ngân hàng. Liên kết qua thẻ ATM nội địa chỉ hỗ trợ nạp tiền từ thẻ ATM vào Ví.
Hướng dẫn thanh toán trên ứng dụng VNPT Money,Người dùng có thể sử dụng tính năng thanh toán trên Ứng dụng VNPT Money ngay cả khi chưa Đăng ký/đăng nhập ứng dụng. Có 5 hình thức thanh toán Khách hàng có thể sử dụng Thanh toán qua Mobile Money. Thanh toán qua Ví VNPT Money. Thanh toán qua Tài khoản ngân hàng/thẻ nội địa. Thanh toán qua Thẻ quốc tế. Thanh toán bằng cách quét mã QR Code tại hơn 160.000 điểm chấp nhận thanh toán.
Hướng dẫn nạp tiền trên ứng dụng VNPT Money,"Để thực hiện Nạp tiền, Khách hàng cần đăng nhập Ví và thực hiện theo các -Bước sau: Nạp tiền: Cách 1: Nạp tiền từ Ngân hàng liên kết trực tiếp. -Bước 1: Đăng nhập tài khoản ví VNPT Money, chọn 'Nạp tiền'. -Bước 2: Nhập số tiền cần nạp và chọn ""Nạp tiền"". -Bước 3: Xác nhận lại số tiền muốn nạp và chọn ""Nạp Tiền"". -Bước 4: Nạp tiền thành công. Cách 2: Nạp tiền từ các ngân hàng khác. -Bước 1: Đăng nhập tài khoản ví VNPT Money, chọn ""Nạp tiền"". -Bước 2: Chọn ""Rút tiền về ngân hàng"". -Bước 3: Chọn ngân hàng muốn thêm. -Bước 4: Chọn nguồn tiền, nhập số tiền cần nạp, và chọn ""Nạp tiền"". -Bước 5: Xác nhận lại số tiền muốn nạp và chọn ""Nạp Tiền"". -Bước 6: Nạp tiền thành công."
Hướng dẫn rút tiền trên ứng dụng VNPT Money,"Để thực hiện Rút tiền, Khách hàng cần đăng nhập Ví và thực hiện theo các -Bước sau: Cách 1: Rút về ngân hàng trực tiếp. -Bước 1: Đăng nhập tài khoản ví VNPT Money, chọn ""Rút tiền"". -Bước 2: Chọn nguồn tiền và nhập số tiền muốn rút. -Bước 3: Xác nhận lại số tiền muốn rút và chọn ""Rút tiền"". -Bước 4: Rút tiền thành công. Cách 2: Rút tiền về ngân hàng khác. -Bước 1: Đăng nhập tài khoản ví VNPT Money, chọn ""Rút tiền"". -Bước 2: Chọn ""Rút về ngân hàng khác"". -Bước 3: Chọn ngân hàng. -Bước 4: Chọn nguồn tiền và nhập số tiền muốn rút. -Bước 5: Xác nhận lại số tiền muốn rút và chọn ""Chuyển tiền"""
Hướng dẫn chuyển tiền từ Ví sang Ví trên ứng dụng VNPT Money,"Để thực hiện Chuyển tiền từ Ví sang ví, Khách hàng cần thực hiện theo các bước sau: -Bước 1: Đăng nhập Ví, trên màn hình chính chọn 'Chuyển tiền'. -Bước 2: Chọn hình thức chuyển tiền 'Đến số điện thoại' hoặc chọn nhanh giao dịch gần đây. -Bước 3: Chọn người nhận trong danh bạ hoặc quét QR cá nhân của người nhận. -Bước 4: Nhập số tiền muốn chuyển. -Bước 5: Xác nhận giao dịch và 'Chuyển Tiền'. -Bước 6: Chuyển tiền thành công."
Hướng dẫn chuyển tiền từ Ví đến tài khoản ngân hàng trên ứng dụng VNPT Money,"Để thực hiện Chuyển tiền từ Ví sang đến tài khoản ngân hàng, Khách hàng cần thực hiện theo các bước sau: -Bước 1: Đăng nhập tài khoản Ví VNPT Money và chọn ""Chuyển tiền"". -Bước 2: Chọn hình thức chuyển tiền ""Đến tài khoản ngân hàng"" hoặc chọn nhanh giao dịch gần đây. -Bước 3: Chọn ngân hàng muốn chuyển. -Bước 4: Nhập số tài khoản và số tiền muốn chuyển. -Bước 5: Xác nhận giao dịch và ""Chuyển Tiền"". -Bước 6: Chuyển tiền thành công. Cách 3: Chuyển tiền đến thẻ ngân hàng. -Bước 1: Đăng nhập tài khoản Ví VNPT Money và chọn ""Chuyển tiền"". -Bước 2: Chọn hình thức chuyển tiền ""Đến thẻ ngân hàng"" hoặc chọn nhanh giao dịch gần đây. -Bước 3: Nhập số thẻ và số tiền muốn chuyển. -Bước 4: Xác nhận giao dịch và ""Chuyển Tiền"". -Bước 5: Chuyển tiền thành công"
Cung Cấp Cho Tôi Biết Hệ Thống Của VNPT Money Không Hoạt Động Tốt Là Như Thế Nào? Nếu Xảy Ra Trường Hợp Này Thì Tôi Phải Làm Gì?,"Hệ thống của VNPT Money không hoạt động tốt xảy ra khi hệ thống đang bận hoặc trong thời gian nâng cấp, bảo trì. Trong thời gian này, các giao dịch của Quý khách trên VNPT Money (liên kết ngân hàng, nạp/rút/chuyển tiền, thanh toán…) không thực hiện được và không phát sinh kết quả giao dịch, Quý khách sẽ nhận được thông báo về việc hệ thống bận/nâng cấp bảo trì/lỗi. Khi đó, Quý khách vui lòng tạm ngừng giao dịch và thử lại sau. Trong trường hợp Quý khách vẫn tiếp tục thực hiện giao dịch sau khi nhận được thông báo, VNPT Media sẽ không chịu trách nhiệm cho các thiệt hại phát sinh."
Trong trường hợp nào Ví Điện Tử VNPT Money Của Khách Hàng Sẽ Bị Khóa?,"Theo quy định về điều khoản thỏa thuận giữa người dùng và VNPT Media, VNPT Media có quyền chủ động thực hiện các biện pháp xác minh tính hợp lệ của giao dịch qua Ví điện tử, cụ thể như sau: Mục 3.3 Điều 3: Nhằm hạn chế rủi ro và đảm bảo tính hợp pháp trong việc cung cấp Dịch vụ, VNPT Media có quyền chủ động thực hiện các biện pháp ngăn chặn, xác minh tài khoản, giao dịch của Người Sử Dụng, bao gồm nhưng không giới hạn: tạm khóa ví điện tử/tài khoản; khóa giao dịch; tạm dừng giao dịch đối với những trường hợp bị nghi ngờ, tính chất bất thường, phức tạp trên cơ sở đánh giá của Ngân Hàng và/hoặc VNPT Media"
"Khi Rút Tiền Từ Ví Điện Tử VNPT Money, Khách Hàng Có Mất Phí Không?","Căn cứ theo quy định về Quy chế rút tiền từ Ví điện tử VNPT Money đã được phê duyệt, khi rút tiền từ Ví điện tử VNPT Money về ngân hàng liên kết với Ví, khách hàng sẽ chịu mức phí theo quy định của VNPT Media theo từng thời kỳ."
"Khi thực hiện rút tiền từ ví điện tử VNPT Money về ngân hàng liên kết, trường hợp nào khách hàng sẽ không thực hiện được","Căn cứ theo quy định của VNPT Media về điều khoản sử dụng Ví điện tử và thỏa thuận người dùng, việc thực hiện rút tiền từ Ví điện tử VNPT Money của khách hàng về ngân hàng liên kết sẽ không thực hiện được khi: Ví điện tử của Người Sử Dụng bị tạm khóa, phong tỏa bởi VNPT Media theo các trường hợp được quy định của Thỏa thuận này và các văn bản liên quan khác hoặc theo yêu cầu của cơ quan Nhà nước có thẩm quyền. Ví điện tử của Người Sử Dụng đang trong quá trình giải quyết khiếu nại và/hoặc VNPT Media có đủ cơ sở để nghi ngờ rằng số tiền có trong Ví điện tử của Người Sử Dụng có nguồn gốc không hợp pháp. Người Sử Dụng khai báo sai thông tin tài khoản ngân hàng."
"Khi thực hiện giao dịch nạp tiền vào ví điện tử vnpt money, khách hàng có mất phí hay không?","Căn cứ theo quy định về Quy chế Nạp tiền vào Ví điện tử VNPT Money đã được phê duyệt, khi nạp tiền từ tài khoản ngân hàng vào Ví điện tử VNPT Money, khách hàng sẽ chịu mức phí theo quy định của VNPT Media theo từng thời kỳ."
Biểu mẫu thay đổi thông tin tài khoản ví điện tử VNPT Money,Giấy đề nghị thay đổi thông tin tài khoản ví điện tử VNPT Money. Tải về https://drive.google.com/file/d/1emgvuWmRSZG7kX9AYCcABWOWHMHsBwLB/view?pli=1
Biểu mẫu thay đổi đóng tài khoản ví điện tử VNPT Money(Hết số dư),Giấy đề nghị đóng tài khoản ví điện tử (Hết số dư). https://drive.google.com/file/d/1FHOitonUu3SYXKyL8XaCqN__kRvwUG23/view
Biểu mẫu đóng tài khoản Ví điện tử VNPT Money (Còn số dư),Giấy đề nghị đóng tài khoản ví điện tử (Còn số dư). Tải về https://drive.google.com/file/d/1bKbmn-hqaPVd-JRBjcV9mWRGamWRPg7j/view
Chính sách riêng tư của khách hàng VNPT Money là gì?,"Chính sách riêng tư của khách hàng VNPT Money như sau VNPT Money là sản phẩm thanh toán điện tử của Tổng Công ty Truyền thông VNPT Media. VNPT Money được Ngân hàng Nhà nước cấp phép hoạt động trong lĩnh vực trung gian thanh toán, cung cấp các dịch vụ Cổng thanh toán, dịch vụ Thu hộ, chi hộ và dịch vụ Ví điện tử (gọi tắt là Dịch vụ VNPT Money) cho khách hàng bao gồm cá nhân và tổ chức (gọi là ""Người dùng"", ""Bạn""). Giải pháp mã hóa Tokenization (viết tắt là Token) cho phép người dùng lưu lại thông tin thẻ dưới dạng mã hóa để phục vụ cho những lần thanh toán kế tiếp mà không cần nhập lại thông tin thẻ khi sử dụng dịch vụ Cổng thanh toán. Chính sách quyền riêng tư này nhằm mục đích giúp Bạn hiểu rõ những dữ liệu nào chúng tôi thu thập, tại sao chúng tôi thu thập và những gì chúng tôi làm với dữ liệu đó. Chính Sách Quyền Riêng Tư nhằm áp dụng cho tất cả các kênh giao diện, phương tiện, công cụ, ứng dụng, dịch vụ liên quan đến việc cung ứng Dịch vụ VNPT Money, không loại trừ việc Bạn sử dụng phương thức nào để truy cập hoặc sử dụng. Bằng việc truy cập và sử dụng các Dịch vụ VNPT Money của chúng tôi, Bạn xác nhận rằng Bạn đã đọc và hiểu Chính sách Quyền riêng Tư này, nguyên tắc thu thập và xử lý thông tin được trình bày trong đó. VNPT Money có thể điều chỉnh Chinh Sách Quyền Riêng Tư vào bất kỳ thời điểm nào, đồng thời đăng tải Chính Sách được điều chỉnh trên website của Dịch vụ VNPT Money. 1. Thu thập thông tin: Để phục vụ cho việc cung ứng các Dịch vụ VNPT Money, xác thực thông tin Người dùng, đảm bảo các yêu cầu bảo mật hệ thống, an toàn thông tin, chăm sóc khách hàng, cải thiện chất lượng các Dịch vụ VNPT Money, chúng tôi được quyền thu thập các loại thông tin cá nhân Người dùng từ các nguồn sau đây: 1.1 Thông tin được thu thập tự động. Khi Bạn sử dụng Dịch vụ VNPT Money, Chúng tôi thu thập những thông tin được gửi đến chúng tôi từ các thiết bị máy tính, điện thoại hoặc các thiết bị khác mà Bạn sử dụng để truy cập. Các thông tin này, bao gồm nhưng không giới hạn các nội dung sau: dữ liệu về các trang website Bạn truy cập, địa chỉ IP của máy tính, định danh thiết bi, loại thiết bị, thông tin máy tính và thiết bị mạng, và các dữ liệu cơ bản khác. Khi bạn truy cập và sử dụng Dịch vụ VNPT Money, Chúng tôi sẽ đặt một số cơ sở dữ liệu gọi chung là Cookies lên máy tính hoặc các thiết bị khác của Bạn. Một trong số những Cookies này có thể tồn tại lâu để thuận tiện cho Bạn trong quá trình sử dụng, ví dụ: lưu tên tài khoản của Bạn trong trang đăng nhập để Bạn không phải nhập lại v.v... Chúng tôi sử dụng những kỹ thuật nói trên với mục đích nhận diện Bạn như một Người dùng của Chúng tôi, phục vụ cho việc đáp ứng cho Dịch vụ, gửi thông báo, quảng cáo tương ứng cho từng đối tượng Người dùng khác nhau, hỗ trợ đảm bảo an ninh, bảo mật tài khoản của Bạn, ngăn ngừa gian lận, rủi do, nâng cao độ tin cậy và an toàn trong hoạt động kết nối giữa Bạn và Dịch vụ VNPT Money. 1.2 Thông tin Bạn khai báo. Chúng tôi thu thập và lưu trữ thông tin nào Bạn cung cấp cho chúng tôi khi sử dụng các Dịch vụ VNPT Money, bao gồm thông tin Bạn cung cấp trên mẫu đăng ký (từ ứng dụng, website, hoặc các kênh tương tác khác) và được cập nhật trong quá trình sử dụng các Dịch vụ; thông tin về các giao dịch và hoạt động của Bạn; thông tin tài chính như các tài khoản ngân hàng và/hoặc số thẻ tín dụng mà Bạn sử dụng hoặc liên kết với Dịch vụ. Chúng tôi cũng thu thập những thông tin về Bạn thông qua nhiều nguồn khác nhau, chẳng hạn như thông qua các liên lạc giữa Bạn và đội ngũ hỗ trợ Khách hàng của chúng tôi, và kể cả thông qua những tài khoản khác mà chúng tôi có thể khẳng định liên quan đến Bạn; các thông tin Bạn phản hồi trong các cuộc khảo sát; các thông tin trong quá trình Bạn tham gia trao đổi, thảo luận, giải quyết tranh chấp hoặc các thông tin phù hợp khác được Bạn cung cấp liên quan đến việc sử dụng các Dịch vụ VNPT Money. Bạn có thế thay đổi thông tin Cá nhân bất kỳ lúc nào bằng cách sử dụng chức năng tương ứng. Tuy nhiên, Chúng tôi sẽ lưu lại những thông tin bị thay đổi để chống lại các hành vi gian lận hoặc xóa dấu vết gian lận. 1.3 Thông tin từ các nguồn khác. Bạn có thể sẽ cung cấp thông tin thông qua việc truy cập thông tin cá nhân được lưu trữ bởi bên thứ ba, chẳng hạn như bên cung cấp dịch vụ xác thực thông tin, các nhà cung cấp hàng hóa/dịch vụ, các trang thông tin điện tử, mạng xã hội, ... Thông qua đó, Chúng tôi có thể nhận được các thông tin được kiểm soát từ các bên thứ ba này, và Bạn đồng ý rằng Chúng tôi có thể thu thập, lưu trữ và sử dụng các thông tin này căn cử theo Chính Sách Quyền Riêng Tư. 1.4 Thông tin qua việc sử dụng thiết bị di động và xác thực Người dùng. Để hỗ trợ trong việc bảo vệ Bạn khỏi những hành vi gian lận và sử dụng sai mục đích các thông tin của Bạn, Chúng tôi có thể thu thập thông tin vềcác tương tác của Bạn đối với Dịch vụ VNPT Money. Chúng tôi có thể đánh giá các thiết bị mà Bạn dùng như máy tính, điện thoại và các thiết bị khác khi truy cập sử dụng dịch vụ nhằm nhận dạng bất kỳ hoạt động xâm phạm nào hoặc các phần mềm độc hại. Khi Bạn truy cập vào các ứng dụng, website của Dịch vụ VNPT Money, Chúng tôi có thể nhận được các thông tin về định vị, về thiết bị của Bạn. Chúng tôi có thể sử dụng và căn cứ các thông tin này để cung cấp Dịch vụ đến Bạn. Các thiết bị di động đều có chức năng cho phép Bạn tắt chức năng định vị, hoặc trong trường hợp cần thiết, Bạn có thể liên hệ với nhà cung cấp, để kiểm soát các thông tin này. 2. Sử dụng thông tin: Chúng tôi sử dụng thông tin của Người dùng nhằm phục vụ: Xử lý các giao dịch liên quan tới Dịch vụ, gửi thông báo kết quả/trạng thái các giao dịch của Người dùng. Xác thực thông tin Người dùng. Hỗ trợ, hướng dẫnNgười dùng sử dụng dịch vụ. Cải tiến, nâng cao chất lượngdịch vụ thông qua tương tác sử dụng dịch vụ của Người dùng. Đánh giá hiệu ứng, hiệu quả của Dịch vụ. Quảng cáo, tiếp thị dựa trên sở thích, thói quen sử dụng dịch vụ của Người dùng. Giải quyết sự cố, khiếu nại của Người dùng. Kiểm soát, ngăn chặn hoặc khắc phục các hành vi gian lận hay những hoạt động vi phạm, bất hợp pháp. Kiểm tra, đối chiếu tính chuẩn xác của thông tin, khả năng thanh toán và xác thực thông tin với bên thứ ba. 3. Thay đổi thông tin cá nhân: Bạn có thể kiểm tra và điều chỉnh thông tin cá nhân của bạn vào bất kỳ lúc nào bằng cách truy cập vào Ví Điện Tử của Bạn và kiểm tra, thực hiện thay thông tin đã cấu hình. Trong trường hợp Bạn hủy Ví Điện Tử, Chúng tôi sẽ khóa tài khoản này trong dữ liệu nhưng có thể sẻ vẫn lưu giữ thông tin của Bạn trong một khoảng thời gian nào đó nhằm phục vụ cho việc giải quyết tranh chấp, khắc phục sự cố, xử lý các vấn đề truy thu, hoặc nhằm thực hiện những hoạt động khác theo yêu cầu của cơ quan quản lý nhà nước hoặc không trái pháp luật. 4. Quảng cáo, tiếp thị, nhận thông báo: Chúng tôi không bán hoặc cho bên thứ ba có nhu cầu tiếp thị thuê khi chưa có sự đồng ý rõ ràng của Bạn.Chúng tôi có thể sử dụng các thông tin của Bạn kết hợp cùng với các thông tin mà Chúng tôi thu thập được từ những nguồn hợp tác khác nhau, nhằm cải thiện Dịch vụ VNPT Money, thông tin hoặc quảng cáo cho Người dùng. Trường hợp Bạn không muốn nhận những thông báo, quảng cáo từ Chúng tôi, Bạn có thể làm theo những hướng dẫn được Chúng tôi cung cấp để từ chối nhận các thông tin này. 5. Bảo vệ và lưu trữ thông tin: Chúng tôi lưu giữ và bảo mật thông tin cá nhân của Bạn tại các máy chủ hệ thống và được bảo đảm an toàn theo đúng quy định của Ngân hàng Nhà nước. Các hoạt động tương tác trực tiếp với các máy chủ (server) và máy móc đặt tại các Trunng tâm dữ liệu (Data Center) đều phải tuân thủ chặt chẽ các quy định và quy trình về an toàn, an ninh và bảo mật theo quy định; đáp ứng các yêu cầu về an toàn và bảo mật công nghệ thông tin theo qui định của Ngân hàng nhà nước và các tiêu chuẩn an ninh, an toàn, bảo mật quốc tế khác. 6. Chia sẻ Thông tin Cá nhân Người dùng. Chúng tôi có thể cung cấp cho các bên tham gia giao dịch các thông tin cần thiết của Người dùng, ví dụ như Tên, Số tài khoán Ví điện tử, chi tiết liên lạc. địa chỉ giao hàng, giá trị giao dịch, hoặc các thông tin cần thiết khác để xác thực thông tin, nâng cao độ tin cậy và an toàn của giao dịch. Bên nhận được thông tinkhông được phép sử dụng thông tin nhận được cho những mục đích không liên quan đến việc thực hiện giao dịch, trừ khi có sự đồng ý của bên cung cấp thông tin. Chúng tôi cho phép bên thứ ba, bao gồm bên cung cấp hàng đóa, có quyền chấp nhận thanh toán của Bạn hoặc gửi yêu cầu thanh toán đến Bạn thông qua việc sử dụng Dịch vụ VNPT Money. Theo đó, bên thứ ba có thể chia sẻ thông tin của Bạn cho chúng tôi để Chúng tôi thông báo yêu cầu thanh toán cho Bạn hoặc thông báo khi Bạn thanh toán cho bên thứ 3. Chúng tôi sử dụng các thông tin này để xác nhận Bạn là Người dùng và được phép sử dụng Dịch vụ VNPT Money hoặc để gửi đến Bạn thông báo về tình trạng giao dịch. Trừ khi có sự đồng ý của Bạn hoặc yêu cầu của cơ quan có thẩm quyền hoặc các quy định pháp lý khác, Chúng tôi sẽ không tiết lộ số thẻ tín dụng hoặc tài khoản ngân hàng của Bạn đến bên thực hiện giao dịch với Bạn thông qua Dịch vụ VNPT Money."
Điều khoản sử dụng dịch vụ ví điện tử VNPT Money,Thông tin điều khoản sử dụng dịch vụ ví điện tử VNPT Money bạn có thể tham khảo tại địa chỉ: https://vnptpay.vn/bill/help/dieukhoan
